Name,Targets,Receptions,Percentage,Yards,Touchdowns,Long,Yards_per_target,Yards_per_reception,Attempts,Rushing_yards,Average_rushing_yards,Rushing_touchdown,Fumbles,Lost_yards,Fantasy_points_per_game,Fantasy_points
Justin Jefferson,184,128,69.6,1809,8,64,9.8,14.1,4,24,6.0,1,0,0,14.2,240.66
Davante Adams,180,100,55.6,1516,14,60,8.4,15.2,3,-1,-0.3,0,1,0,13.9,235.5
Tyreek Hill,170,119,70.0,1710,7,64,10.1,14.4,7,32,4.6,2,1,0,13.4,228.2
A.J. Brown,146,88,60.3,1496,11,78,10.2,17.0,0,0,0.0,0,2,2,12.4,211.6
Stefon Diggs,154,108,70.1,1429,11,53,9.3,13.2,1,-3,-3.0,0,1,0,13.0,208.6
CeeDee Lamb,156,107,68.6,1359,9,39,8.7,12.7,10,47,4.7,0,0,0,11.4,194.6
Jaylen Waddle,117,75,64.1,1356,8,84,11.6,18.1,3,26,8.7,0,1,1,10.8,184.2
Amari Cooper,132,78,59.1,1160,9,55,8.8,14.9,0,0,0.0,0,0,0,9.9,168.0
Amon-Ra St. Brown,146,106,72.6,1161,6,49,8.0,11.0,9,95,10.6,0,0,0,10.1,161.6
DeVonta Smith,136,95,69.9,1196,7,45,8.8,12.6,0,0,0.0,0,1,1,9.4,159.6
Christian Kirk,133,84,63.2,1108,8,49,8.3,13.2,5,11,2.2,0,1,1,9.3,157.9
Ja'Marr Chase,134,87,64.9,1046,9,60,7.8,12.0,5,8,1.6,0,2,2,13.0,155.4
Tyler Lockett,117,84,71.8,1033,9,40,8.8,12.3,0,0,0.0,0,2,2,9.6,153.3
Terry McLaurin,120,77,64.2,1191,5,52,9.9,15.5,7,29,4.1,0,1,0,8.9,152.0
Brandon Aiyuk,114,78,68.4,1015,8,54,8.9,13.0,2,23,11.5,0,1,1,8.8,149.8
Mike Evans,127,77,60.6,1124,6,63,8.9,14.6,0,0,0.0,0,0,0,9.9,148.4
Tee Higgins,109,74,67.9,1029,7,59,9.4,13.9,0,0,0.0,0,0,0,9.2,146.9
Jerry Jeudy,100,67,67.0,972,6,67,9.7,14.5,4,40,10.0,0,0,0,9.1,137.2
DK Metcalf,141,90,63.8,1048,6,54,7.4,11.6,0,0,0.0,0,2,2,8.0,136.8
DJ Moore,118,63,53.4,888,7,62,7.5,14.1,10,53,5.3,0,0,0,8.0,136.1
Garrett Wilson,147,83,56.5,1103,4,60,7.5,13.3,4,4,1.0,0,2,1,7.8,132.7
Cooper Kupp,98,75,76.5,812,6,75,8.3,10.8,9,52,5.8,1,2,1,14.0,126.4
Chris Olave,119,72,60.5,1042,4,53,8.8,14.5,0,0,0.0,0,2,2,8.4,126.2
Gabe Davis,93,48,51.6,836,7,98,9.0,17.4,0,0,0.0,0,1,1,8.2,123.6
Christian Watson,66,41,62.1,611,7,63,9.3,14.9,7,80,11.4,2,0,0,8.8,123.1
Chris Godwin,142,104,73.2,1023,3,44,7.2,9.8,3,5,1.7,0,2,2,7.9,118.8
Michael Pittman Jr.,141,99,70.2,925,4,28,6.6,9.3,3,30,10.0,0,2,1,7.3,117.5
Zay Jones,121,82,67.8,823,5,59,6.8,10.0,4,18,4.5,0,0,0,7.3,116.1
Allen Lazard,100,60,60.0,788,6,47,7.9,13.1,2,0,0.0,0,0,0,7.7,114.8
George Pickens,84,52,61.9,801,4,42,9.5,15.4,3,24,8.0,1,0,0,6.7,114.5
Mike Williams,93,63,67.7,895,4,55,9.6,14.2,0,0,0.0,0,0,0,8.7,113.5
Jakobi Meyers,96,67,69.8,804,6,48,8.4,12.0,2,-11,-5.5,0,2,2,8.1,113.3
Deebo Samuel,94,56,59.6,632,2,57,6.7,11.3,42,232,5.5,3,3,2,8.6,112.4
Curtis Samuel,92,64,69.6,656,4,49,7.1,10.2,38,187,4.9,1,1,1,6.6,112.3
Adam Thielen,107,70,65.4,716,6,36,6.7,10.2,1,4,4.0,0,0,0,6.5,110.0
Tyler Boyd,82,58,70.7,762,5,60,9.3,13.1,0,0,0.0,0,0,0,6.8,109.12
JuJu Smith-Schuster,101,78,77.2,933,3,53,9.2,12.0,0,0,0.0,0,3,2,6.7,107.3
Drake London,117,72,61.5,866,4,40,7.4,12.0,0,0,0.0,0,3,3,6.3,106.6
Donovan Peoples-Jones,96,61,63.5,839,3,42,8.7,13.8,1,2,2.0,0,1,1,5.9,100.1
Keenan Allen,89,66,74.2,752,4,46,8.4,11.4,1,8,8.0,0,1,1,9.8,98.0
Joshua Palmer,107,72,67.3,769,3,50,7.2,10.7,1,4,4.0,0,1,0,6.1,97.3
Mack Hollins,94,57,60.6,690,4,60,7.3,12.1,4,40,10.0,0,0,0,5.7,97.16
Jahan Dotson,61,35,57.4,523,7,61,8.6,14.9,2,-7,-3.5,0,0,0,8.0,95.6
K.J. Osborn,90,60,66.7,650,5,66,7.2,10.8,3,6,2.0,0,1,0,5.6,95.6
Courtland Sutton,109,64,58.7,829,2,51,7.6,13.0,1,5,5.0,0,0,0,6.4,95.4
Diontae Johnson,147,86,58.5,882,0,37,6.0,10.3,7,25,3.6,0,1,0,5.6,94.7
Marquise Brown,107,67,62.6,709,3,47,6.6,10.6,1,1,1.0,0,1,0,7.4,89.0
Brandin Cooks,93,57,61.3,699,3,44,7.5,12.3,2,7,3.5,0,0,0,6.8,88.6
DeAndre Hopkins,96,64,66.7,717,3,33,7.5,11.2,0,0,0.0,0,2,1,9.7,87.7
Parris Campbell,91,63,69.2,623,3,49,6.8,9.9,5,58,11.6,0,1,0,5.1,86.1
Darius Slayton,71,46,64.8,724,2,55,10.2,15.7,0,0,0.0,0,2,1,5.2,82.4
Marquez Valdes-Scantling,81,42,51.9,687,2,57,8.5,16.4,1,-3,-3.0,0,0,0,4.7,80.4
Isaiah McKenzie,65,42,64.6,423,4,30,6.5,10.1,9,55,6.1,1,0,0,5.2,77.8
Richie James,70,57,81.4,569,4,33,8.1,10.0,2,6,3.0,0,3,3,4.4,75.5
Devin Duvernay,49,37,75.5,407,3,31,8.3,11.0,12,84,7.0,1,1,0,5.2,73.1
Russell Gage,70,51,72.9,426,5,23,6.1,8.4,0,0,0.0,0,1,1,5.6,72.6
Rashid Shaheed,34,28,82.4,488,2,68,14.4,17.4,4,57,14.2,1,1,0,6.0,72.5
DeVante Parker,47,31,66.0,539,3,43,11.5,17.4,0,0,0.0,0,0,0,5.5,71.9
Noah Brown,73,43,58.9,555,3,51,7.6,12.9,0,0,0.0,0,1,1,4.5,71.5
Alec Pierce,78,41,52.6,593,2,47,7.6,14.5,0,0,0.0,0,1,0,4.5,71.3
Marvin Jones Jr.,81,46,56.8,529,3,37,6.5,11.5,0,0,0.0,0,0,0,4.4,70.9
Olamide Zaccheaus,61,40,65.6,533,3,45,8.7,13.3,2,7,3.5,0,1,1,4.1,70.0
Mecole Hardman Jr.,34,25,73.5,297,4,36,8.7,11.9,4,31,7.8,2,1,0,8.6,68.8
DJ Chark Jr.,52,30,57.7,502,3,51,9.7,16.7,0,0,0.0,0,0,0,6.2,68.2
Chris Moore,74,48,64.9,548,2,52,7.4,11.4,3,3,1.0,0,0,0,4.2,67.1
Michael Gallup,74,39,52.7,424,4,27,5.7,10.9,0,0,0.0,0,0,0,4.7,66.4
DeAndre Carter,65,46,70.8,538,3,35,8.3,11.7,2,-15,-7.5,0,3,2,3.9,66.3
